concept,cogid,form_a,form_b,seg_a,seg_b,differing_features
butterfly,6933,maɾiposa,buɾbulɛtɐ,s,t,"cont,strid"
buttocks,6986,tɾasɛɾo,nadɨgɐʃ,t,n,"voi,nas,son"
calf,7164,beθɛro,bɨzɛʁu,r,ʁ,"ant,cor,back,strid,hi,lo,son"
calf,7164,beθɛro,bɨzɛʁu,θ,z,"voi,strid"
call,7191,ʎamaɾ,ʃɐmaɾ,ʎ,ʃ,"voi,strid,hi,son"
callbyname,7258,ʎamaɾse,numiaɾ,s,ɾ,"voi,strid,hi,lo,son"
callbyname,7258,ʎamaɾse,numiaɾ,ʎ,n,"cont,nas,ant,hi"
callbyname,7258,ʎamaɾse,ʃɐmaɾsɨ,ʎ,ʃ,"voi,strid,hi,son"
calmofsea,7306,kalma,kalˠmɐ,l,lˠ,hi
calmofsea,7306,kalma,kalˠmɐɾiɐ,l,lˠ,hi
camel,7317,kameʎo,kɐmɛlu,ʎ,l,"ant,hi"
candle,7382,bela,vɛlɐ,b,v,"cont,strid"
cannonorgun,7426,kaɲon,aɾmɐ,ɲ,m,"ant,lab,hi"
cannonorgun,7426,kaɲon,piʃtɔlɐ,k,p,"ant,lab,back,hi"
cannonorgun,7426,kaɲon,piʃtɔlɐ,n,l,"cont,nas"
cannonorgun,7426,kaɲon,piʃtɔlɐ,ɲ,t,"voi,nas,ant,cor,hi,son"
cannonorgun,7426,ɛskopɛta,aɾmɐ,p,m,"voi,nas,son"
cannonorgun,7426,ɛskopɛta,aɾmɐ,s,ɾ,"voi,strid,hi,lo,son"
cannonorgun,7426,ɛskopɛta,kɐɲɐ̃ũ,t,ɲ,"voi,nas,ant,cor,hi,son"
cannonorgun,7426,ɛskopɛta,piʃtɔlɐ,p,t,"cor,lab"
cannonorgun,7426,ɛskopɛta,piʃtɔlɐ,s,p,"cont,cor,lab,strid"
cannonorgun,7426,ɛskopɛta,piʃtɔlɐ,t,l,"cont,voi,son"
cape,7447,punta,kabu,p,k,"ant,lab,back,hi"
cape,7447,punta,kabu,t,b,"voi,cor,lab"
cape,7447,punta,pɾumõtɔɾju,n,m,"cor,lab"
cape,7447,pɾomontoɾjo,kabu,m,b,"nas,son"
cape,7447,pɾomontoɾjo,kabu,p,k,"ant,lab,back,hi"
carry,7510,kaɾɣaɾ,lɨvaɾ,k,l,"cont,voi,ant,cor,back,hi,son"
carry,7510,kaɾɣaɾ,lɨvaɾ,ɣ,v,"ant,lab,back,strid,hi"
carry,7510,ʎeβaɾ,lɨvaɾ,ʎ,l,"ant,hi"
carry,7510,ʎeβaɾ,lɨvaɾ,β,v,strid
carryinhand,7561,ʎeβaɾ+en+la+mano,lɨvaɾ+na+mɐ̃ũ,ʎ,l,"ant,hi"
carryinhand,7561,ʎeβaɾ+en+la+mano,lɨvaɾ+na+mɐ̃ũ,β,v,strid
carryonhead,7581,ʎeβaɾ+soβɾe+la+kaβeθa,lɨvaɾ+na+kɐbɛsɐ,l,n,"cont,nas"
carryonhead,7581,ʎeβaɾ+soβɾe+la+kaβeθa,lɨvaɾ+na+kɐbɛsɐ,ʎ,l,"ant,hi"
carryonhead,7581,ʎeβaɾ+soβɾe+la+kaβeθa,lɨvaɾ+na+kɐbɛsɐ,β,b,cont
carryonhead,7581,ʎeβaɾ+soβɾe+la+kaβeθa,lɨvaɾ+na+kɐbɛsɐ,β,v,strid
carryonhead,7581,ʎeβaɾ+soβɾe+la+kaβeθa,lɨvaɾ+na+kɐbɛsɐ,θ,s,strid
